# 难以识别的简体词汇
种子 種子
种种 種種
一种 一種
二种 二種
三种 三種
四种 四種
五种 五種
六种 六種
七种 七種
八种 八種
九种 九種
十种 十種
百种 百種
千种 千種
万种 萬種
几种 幾種
几人 幾人
几乎 幾乎
几番 幾番
几日 幾日
几年 幾年
几卷 幾卷
未几 未幾
迦叶 迦葉
枝叶 枝葉
荷叶 荷葉
松叶 松葉
草叶 草葉
蕉叶 蕉葉
根叶 根葉
花叶 花葉
一叶 一葉
二叶 二葉
三叶 三葉
四叶 四葉
五叶 五葉
六叶 六葉
七叶 七葉
八叶 八葉
九叶 九葉
十叶 十葉
百叶 百葉
千叶 千葉
万叶 萬葉
落叶 落葉
摘叶 摘葉
叶落 葉落
叶子 葉子
广义 廣義
广大 廣大
方广 方廣
破坏 破壞
不坏 不壞
坏苦 壞苦
句义 句義
胜义 勝義
立义 立義
宗义 宗義
离义 離義
意义 意義
文义 文義
深义 深義
格义 格義
法义 法義
义疏 義疏
义味 義味
义理 義理
了义 了義
第一义 第一義
一切义 一切義
以是义故 以是義故
殊胜 殊勝
最胜 最勝
尊胜 尊勝
能胜 能勝
东胜 東勝
胜利 勝利
胜者 勝者
胜解 勝解
胜鬘 勝鬘
胜妙 勝妙
胜劣 勝劣
